TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",24.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",25,Mean travel time to work (minutes),28.3,+/-1.0,(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",25.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",25.5,OCCUPATION,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",26,Civilian employed population 16 years and over,"355,398","+/-5,992","355,398",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",27,"Management, business, science, and arts occupations","256,907","+/-6,481",72.3,+/-1.4
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",28,Service occupations,"36,259","+/-4,061",10.2,+/-1.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",29,Sales and office occupations,"41,890","+/-3,764",11.8,+/-1.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",30,"Natural resources, construction, and maintenance occupations","7,084","+/-1,756",2.0,+/-0.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",31,"Production, transportation, and material moving occupations","13,258","+/-2,186",3.7,+/-0.6
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",31.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",31.5,INDUSTRY,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",32,Civilian employed population 16 years and over,"355,398","+/-5,992","355,398",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",33,"Agriculture, forestry, fishing and hunting, and mining",276,+/-343,0.1,+/-0.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",34,Construction,"8,199","+/-1,852",2.3,+/-0.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",35,Manufacturing,"4,591","+/-1,069",1.3,+/-0.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",36,Wholesale trade,"2,177",+/-881,0.6,+/-0.2
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",37,Retail trade,"17,118","+/-2,734",4.8,+/-0.8
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",38,"Transportation and warehousing, and utilities","11,582","+/-2,078",3.3,+/-0.6
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",39,Information,"11,648","+/-1,784",3.3,+/-0.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",40,"Finance and insurance, and real estate and rental and leasing","25,937","+/-3,213",7.3,+/-0.9
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",41,"Professional, scientific, and management, and administrative and waste management services","95,313","+/-4,233",26.8,+/-1.2
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",42,"Educational services, and health care and social assistance","58,473","+/-4,601",16.5,+/-1.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",43,"Arts, entertainment, and recreation, and accommodation and food services","21,884","+/-2,851",6.2,+/-0.8
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",44,"Other services, except public administration","32,384","+/-3,187",9.1,+/-0.9
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",45,Public administration,"65,816","+/-4,481",18.5,+/-1.2
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",45.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",45.5,CLASS OF WORKER,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",46,Civilian employed population 16 years and over,"355,398","+/-5,992","355,398",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",47,Private wage and salary workers,"243,309","+/-6,856",68.5,+/-1.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",48,Government workers,"94,855","+/-4,927",26.7,+/-1.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",49,Self-employed in own not incorporated business workers,"16,654","+/-2,415",4.7,+/-0.7
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",50,Unpaid family workers,580,+/-404,0.2,+/-0.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",50.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",50.5,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",51,Total households,"319,565","+/-3,541","319,565",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",52,"Less than $10,000","30,677","+/-3,180",9.6,+/-1.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",53,"$10,000 to $14,999","9,081","+/-1,655",2.8,+/-0.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",54,"$15,000 to $24,999","17,577","+/-2,844",5.5,+/-0.9
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",55,"$25,000 to $34,999","17,089","+/-2,231",5.3,+/-0.7
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",56,"$35,000 to $49,999","19,688","+/-2,474",6.2,+/-0.8
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",57,"$50,000 to $74,999","41,202","+/-3,335",12.9,+/-1.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",58,"$75,000 to $99,999","36,461","+/-3,285",11.4,+/-1.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",59,"$100,000 to $149,999","48,433","+/-3,199",15.2,+/-1.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",60,"$150,000 to $199,999","30,406","+/-2,822",9.5,+/-0.9
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",61,"$200,000 or more","68,951","+/-3,934",21.6,+/-1.2
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",62,Median household income (dollars),"90,088","+/-3,477",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",63,Mean household income (dollars),"138,856","+/-4,601",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",63.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",64,With earnings,"257,985","+/-5,052",80.7,+/-1.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",65,Mean earnings (dollars),"144,947","+/-4,650",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",66,With Social Security,"61,068","+/-2,873",19.1,+/-0.9
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",67,Mean Social Security income (dollars),"18,942",+/-915,(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",68,With retirement income,"51,381","+/-2,763",16.1,+/-0.9
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",69,Mean retirement income (dollars),"43,744","+/-3,844",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",69.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",70,With Supplemental Security Income,"14,902","+/-2,109",4.7,+/-0.7
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",71,Mean Supplemental Security Income (dollars),"9,217",+/-801,(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",72,With cash public assistance income,"15,853","+/-2,639",5.0,+/-0.8
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",73,Mean cash public assistance income (dollars),"5,379","+/-1,019",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",74,With Food Stamp/SNAP benefits in the past 12 months,"45,779","+/-3,533",14.3,+/-1.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",74.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",75,Families,"128,733","+/-5,228","128,733",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",76,"Less than $10,000","9,878","+/-2,035",7.7,+/-1.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",77,"$10,000 to $14,999","2,252",+/-920,1.7,+/-0.7
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",78,"$15,000 to $24,999","5,088","+/-1,510",4.0,+/-1.2
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",79,"$25,000 to $34,999","5,534","+/-1,404",4.3,+/-1.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",80,"$35,000 to $49,999","7,125","+/-1,975",5.5,+/-1.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",81,"$50,000 to $74,999","12,313","+/-1,864",9.6,+/-1.4
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",82,"$75,000 to $99,999","10,449","+/-1,847",8.1,+/-1.4
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",83,"$100,000 to $149,999","17,458","+/-2,166",13.6,+/-1.6
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",84,"$150,000 to $199,999","13,633","+/-1,878",10.6,+/-1.4
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",85,"$200,000 or more","45,003","+/-3,148",35.0,+/-2.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",86,Median family income (dollars),"136,184","+/-9,537",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",87,Mean family income (dollars),"192,346","+/-10,228",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",87.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",88,Per capita income (dollars),"65,808","+/-2,083",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",88.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",89,Nonfamily households,"190,832","+/-5,599","190,832",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",90,Median nonfamily income (dollars),"76,236","+/-2,888",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",91,Mean nonfamily income (dollars),"100,084","+/-3,690",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",91.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",92,Median earnings for workers (dollars),"72,457","+/-2,280",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",93,"Median earnings for male full-time, year-round workers (dollars)","103,222","+/-1,731",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",94,"Median earnings for female full-time, year-round workers (dollars)","87,244","+/-2,666",(X),(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",94.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",94.5,HEALTH INSURANCE COVERAGE,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",95,Civilian noninstitutionalized population,"659,979",+/-984,"659,979",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",96,With health insurance coverage,"635,752","+/-4,073",96.3,+/-0.6
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",97,With private health insurance,"474,728","+/-8,645",71.9,+/-1.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",98,With public coverage,"227,924","+/-9,498",34.5,+/-1.4
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",99,No health insurance coverage,"24,227","+/-3,872",3.7,+/-0.6
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",99.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",100,Civilian noninstitutionalized population under 19 years,"133,787","+/-1,923","133,787",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",101,No health insurance coverage,"4,916","+/-2,383",3.7,+/-1.8
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",101.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",102,Civilian noninstitutionalized population 19 to 64 years,"442,448","+/-2,318","442,448",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",103,In labor force:,"360,068","+/-4,388","360,068",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",104,Employed:,"331,439","+/-5,490","331,439",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",105,With health insurance coverage,"321,913","+/-5,600",97.1,+/-0.6
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",106,With private health insurance,"292,725","+/-5,980",88.3,+/-1.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",107,With public coverage,"39,506","+/-4,551",11.9,+/-1.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",108,No health insurance coverage,"9,526","+/-2,119",2.9,+/-0.6
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",109,Unemployed:,"28,629","+/-3,794","28,629",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",110,With health insurance coverage,"24,814","+/-3,656",86.7,+/-5.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",111,With private health insurance,"11,307","+/-2,071",39.5,+/-6.6
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",112,With public coverage,"14,886","+/-3,064",52.0,+/-6.6
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",113,No health insurance coverage,"3,815","+/-1,598",13.3,+/-5.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",114,Not in labor force:,"82,380","+/-4,893","82,380",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",115,With health insurance coverage,"76,910","+/-4,663",93.4,+/-1.8
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",116,With private health insurance,"38,880","+/-3,306",47.2,+/-3.2
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",117,With public coverage,"42,489","+/-4,259",51.6,+/-3.8
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",118,No health insurance coverage,"5,470","+/-1,575",6.6,+/-1.8
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",118.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",118.5,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",119,All families,(X),(X),12.8,+/-1.7
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",120,With related children of the householder under 18 years,(X),(X),20.5,+/-3.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",121,With related children of the householder under 5 years only,(X),(X),11.2,+/-4.9
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",122,Married couple families,(X),(X),3.2,+/-1.2
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",123,With related children of the householder under 18 years,(X),(X),4.5,+/-2.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",124,With related children of the householder under 5 years only,(X),(X),3.5,+/-4.2
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",125,"Families with female householder, no spouse present",(X),(X),29.9,+/-4.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",126,With related children of the householder under 18 years,(X),(X),41.6,+/-6.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",127,With related children of the householder under 5 years only,(X),(X),38.9,+/-17.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",127.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",128,All people,(X),(X),16.5,+/-1.4
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",129,Under 18 years,(X),(X),23.9,+/-4.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",130,Related children of the householder under 18 years,(X),(X),23.7,+/-4.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",131,Related children of the householder under 5 years,(X),(X),20.1,+/-5.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",132,Related children of the householder 5 to 17 years,(X),(X),25.4,+/-4.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",133,18 years and over,(X),(X),14.7,+/-1.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",134,18 to 64 years,(X),(X),14.9,+/-1.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",135,65 years and over,(X),(X),13.8,+/-2.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",136,People in families,(X),(X),14.9,+/-2.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",137,Unrelated individuals 15 years and over,(X),(X),18.9,+/-1.7
